,sync,n_gaze_face,a_gaze_face,n_gaze_mask,a_gaze_mask
143,False,False,True,False,True
144,,,,,
145,,,,,
146,False,True,False,True,False
147,False,False,True,False,True
148,False,False,True,False,True
149,False,False,False,False,False
150,False,False,True,False,True
151,False,False,False,False,True
152,False,False,False,False,True
153,False,False,False,False,False
154,False,False,False,False,False
155,False,False,False,False,False
156,,,,,
157,,,,,
158,,,,,
159,,,,,
160,,,,,
161,,,,,
162,,,,,
163,,,,,
164,,,,,
165,False,False,True,False,True
166,False,False,False,False,False
167,False,False,False,False,False
168,False,False,True,False,True
169,False,False,True,False,True
170,False,False,True,False,False
171,False,False,True,False,False
172,False,False,True,False,True
173,False,True,True,True,True
174,,,,,
175,False,True,True,True,True
176,,,,,
177,,,,,
178,,,,,
179,False,True,False,True,False
180,,,,,
181,,,,,
182,,,,,
183,,,,,
184,,,,,
185,,,,,
186,,,,,
187,False,True,True,True,True
188,False,False,True,False,True
189,False,False,True,False,True
190,,,,,
191,False,False,True,False,True
192,False,False,True,False,True
193,False,False,False,False,False
194,,,,,
195,,,,,
196,False,False,True,False,True
197,,,,,
198,,,,,
199,,,,,
200,,,,,
201,,,,,
202,,,,,
203,,,,,
204,,,,,
205,,,,,
206,True,False,False,True,False
207,,,,,
208,False,False,False,True,False
209,False,False,False,True,False
210,False,False,False,False,False
211,False,False,False,False,False
212,False,True,False,True,False
213,,,,,
214,,,,,
215,,,,,
216,,,,,
217,False,False,True,False,True
218,False,False,False,False,False
219,True,False,False,True,False
220,False,False,True,False,True
221,False,False,True,True,True
222,False,False,True,True,True
223,False,False,True,False,True
224,True,False,False,True,False
225,True,False,False,False,False
226,False,False,True,True,True
227,False,False,True,False,True
228,False,False,True,True,True
229,False,False,True,False,True
230,False,False,True,False,True
231,False,False,False,False,False
232,False,False,True,False,True
233,False,False,True,False,True
234,False,False,True,False,True
235,False,False,True,False,True
236,,,,,
237,,,,,
238,False,False,True,False,True
239,False,False,True,False,True
240,,,,,
241,,,,,
242,,,,,
243,False,False,True,False,True
244,False,False,True,False,True
245,False,False,True,False,True
246,False,False,True,False,True
247,False,False,False,False,False
248,False,False,False,False,False
249,False,False,False,False,False
250,False,False,False,False,False
251,,,,,
252,,,,,
253,False,False,False,False,False
254,False,False,False,False,False
255,False,False,False,False,False
256,False,False,False,False,False
257,False,False,False,False,False
258,False,False,False,False,True
259,False,False,False,False,False
260,False,False,False,False,False
261,False,False,False,False,False
262,False,False,False,False,False
263,True,False,False,False,False
264,False,True,False,True,False
265,False,False,False,False,False
266,True,False,False,False,False
267,False,True,False,True,False
268,,,,,
269,,,,,
270,,,,,
271,False,True,False,True,False
272,True,False,False,True,False
273,False,True,False,True,False
274,False,False,False,False,False
275,False,False,False,False,False
276,False,True,False,True,False
277,False,True,False,True,False
278,False,True,False,True,False
279,False,False,False,False,False
280,False,False,False,False,False
281,True,False,False,False,False
282,False,False,False,False,False
283,False,False,False,False,False
284,False,False,False,False,False
285,False,False,False,False,False
286,False,False,False,False,False
287,True,False,False,False,False
288,False,True,False,True,False
289,False,False,False,False,False
290,False,False,False,False,False
291,False,False,True,False,True
292,False,False,True,False,True
293,False,False,True,False,True
294,False,False,True,False,True
295,False,False,True,False,True
296,,,,,
297,,,,,
298,,,,,
299,False,False,True,False,True
300,,,,,
301,,,,,
302,,,,,
303,True,False,False,False,False
304,True,False,False,False,False
305,False,False,False,False,False
306,False,False,False,False,False
307,False,False,False,False,False
308,False,False,False,False,False
309,False,False,False,False,False
310,True,False,False,False,False
311,False,False,True,False,True
312,False,False,False,True,False
313,False,False,True,True,False
314,False,False,True,False,True
315,False,False,True,True,True
316,False,False,True,True,True
317,False,False,True,False,True
318,False,False,True,False,True
319,False,False,True,True,True
320,False,False,True,False,True
321,False,False,True,False,True
322,False,False,True,True,True
323,False,False,False,False,False
324,True,False,False,True,False
325,True,False,False,True,False
326,False,False,True,False,True
327,False,False,True,False,True
328,False,False,True,False,True
329,False,False,True,False,True
330,False,False,True,True,True
331,,,,,
332,,,,,
333,,,,,
334,,,,,
335,,,,,
336,,,,,
337,,,,,
338,,,,,
339,,,,,
340,,,,,
341,,,,,
342,,,,,
343,,,,,
344,,,,,
345,,,,,
346,,,,,
347,,,,,
348,,,,,
349,,,,,
350,,,,,
351,,,,,
352,,,,,
353,False,False,False,False,False
354,False,False,False,False,False
355,False,False,False,False,False
356,False,False,False,False,False
357,False,False,False,False,False
358,False,False,False,False,False
359,False,False,False,False,False
360,False,False,True,False,True
361,False,False,True,False,True
362,,,,,
363,False,False,True,False,True
364,False,False,True,False,True
365,False,False,True,False,True
366,False,False,True,False,True
367,False,False,True,False,True
368,False,False,True,False,False
369,False,False,True,False,True
370,False,False,True,True,False
371,False,False,True,False,True
372,False,False,True,False,True
373,False,False,True,False,True
374,True,False,False,True,False
375,False,False,False,False,False
376,False,False,False,False,False
377,False,False,False,False,False
378,False,False,False,False,False
379,True,False,False,False,False
380,,,,,
381,,,,,
382,,,,,
383,,,,,
384,False,False,False,False,False
385,False,False,False,False,False
386,False,False,False,False,False
387,True,False,False,False,False
388,,,,,
389,,,,,
390,,,,,
391,,,,,
392,,,,,
393,,,,,
394,False,False,False,False,False
395,False,False,False,False,False
396,False,False,False,False,False
397,False,False,False,False,False
398,False,False,False,False,False
399,False,False,False,False,False
400,False,False,False,False,False
401,False,False,False,False,False
402,False,False,False,False,False
403,False,False,False,False,False
404,False,False,False,False,False
405,False,False,False,False,False
406,False,False,False,False,False
407,False,False,False,False,False
408,False,False,False,False,False
409,False,False,False,False,False
410,False,False,False,False,False
411,False,False,False,False,False
412,False,False,False,False,False
413,,,,,
414,,,,,
415,,,,,
416,,,,,
417,,,,,
418,,,,,
419,,,,,
420,,,,,
421,,,,,
422,,,,,
423,,,,,
424,,,,,
425,,,,,
426,,,,,
427,,,,,
428,,,,,
429,,,,,
430,,,,,
431,,,,,
432,False,True,True,True,False
433,False,False,False,False,False
434,True,False,False,True,False
435,True,False,False,False,False
436,False,False,False,False,False
437,False,False,False,False,False
438,False,False,False,False,False
439,False,False,False,False,False
440,True,False,False,False,False
441,True,False,False,False,False
442,False,False,False,False,False
443,,,,,
444,,,,,
445,False,False,False,False,False
446,False,False,False,False,False
447,False,False,False,False,False
448,False,False,False,False,False
449,,,,,
450,,,,,
451,,,,,
452,,,,,
453,,,,,
454,,,,,
455,,,,,
456,,,,,
457,,,,,
458,,,,,
459,False,False,True,False,True
460,,,,,
461,False,False,True,False,True
462,,,,,
463,,,,,
464,False,True,True,True,False
465,False,True,True,True,True
466,False,True,True,True,True
467,False,True,True,True,True
468,False,True,True,True,True
469,False,True,False,True,False
470,,,,,
471,False,True,True,True,True
472,False,True,False,True,False
473,False,True,False,True,False
474,,,,,
475,,,,,
476,,,,,
477,,,,,
478,False,False,True,False,True
479,False,False,True,True,True
480,False,False,True,False,True
481,False,False,True,False,True
482,,,,,
483,,,,,
484,,,,,
485,,,,,
486,,,,,
487,False,False,True,False,True
488,False,False,True,False,True
489,,,,,
490,,,,,
491,,,,,
492,,,,,
493,,,,,
494,,,,,
495,,,,,
496,,,,,
497,,,,,
498,,,,,
499,,,,,
500,,,,,
501,,,,,
502,,,,,
503,False,False,True,False,True
504,False,False,False,False,False
505,True,False,False,False,False
506,True,False,False,False,False
507,True,False,False,False,False
508,True,False,False,False,False
509,False,False,True,False,True
510,True,False,False,False,False
511,True,False,False,False,False
512,True,False,False,False,False
513,True,False,False,False,False
514,True,False,False,False,False
515,True,False,False,False,False
516,,,,,
517,False,False,False,True,False
518,True,False,False,True,False
519,False,False,False,True,False
520,False,False,False,True,True
521,False,False,True,False,True
522,,,,,
523,False,False,True,False,True
524,,,,,
525,,,,,
526,,,,,
527,,,,,
528,,,,,
529,,,,,
530,,,,,
531,,,,,
532,,,,,
533,,,,,
534,,,,,
535,,,,,
536,False,False,True,False,False
537,False,False,True,False,True
538,False,False,True,False,True
539,False,False,True,False,True
540,False,False,True,False,True
541,True,False,False,False,False
542,True,False,False,False,False
543,True,False,False,False,False
544,True,False,False,False,False
545,False,False,True,False,True
546,False,False,True,False,True
547,False,False,True,False,True
548,False,False,True,True,True
549,False,False,True,False,True
550,False,False,True,False,True
551,False,False,True,False,True
552,False,False,True,False,True
553,False,False,True,False,True
554,False,False,True,False,True
555,False,False,True,False,True
556,False,False,True,False,True
557,,,,,
558,,,,,
559,False,False,True,False,True
560,False,False,True,False,True
561,False,False,True,False,True
562,False,False,True,False,True
563,False,False,True,False,True
564,False,False,False,False,True
565,False,False,False,False,True
566,False,False,False,False,False
567,,,,,
568,False,False,True,False,True
569,,,,,
570,False,False,True,False,True
571,False,False,True,False,True
572,False,False,True,False,True
573,,,,,
574,,,,,
575,,,,,
576,,,,,
577,,,,,
578,False,True,True,True,True
579,True,False,False,False,False
580,,,,,
581,False,False,False,False,False
582,False,False,True,False,True
583,False,False,True,False,True
584,False,False,False,False,False
585,False,False,False,False,False
586,False,False,True,False,True
587,True,False,False,False,False
588,True,False,False,False,False
589,True,False,False,False,False
590,False,False,True,False,False
591,False,False,True,False,False
592,False,False,True,False,True
593,False,False,True,False,True
594,False,False,True,True,True
595,False,False,True,True,True
596,False,False,True,False,True
597,False,False,True,False,True
598,False,False,True,False,True
599,False,False,True,False,True
600,False,False,False,False,False
601,False,False,False,False,False
602,False,False,False,False,False
603,False,False,False,False,False
604,False,False,False,False,False
605,False,False,False,False,False
606,False,False,False,False,False
607,False,False,False,False,False
608,True,False,False,False,False
609,False,False,False,False,False
610,False,False,False,False,False
611,False,False,False,False,False
612,False,False,False,False,False
613,False,False,False,False,False
614,False,False,False,False,False
615,,,,,
616,,,,,
617,,,,,
618,,,,,
619,True,False,False,False,False
620,False,False,False,False,False
621,False,False,False,False,False
622,True,False,False,False,False
623,False,False,False,False,False
624,False,False,False,False,False
625,False,False,False,False,False
626,False,False,False,False,False
627,False,False,False,False,False
628,False,False,False,False,False
629,,,,,
630,,,,,
631,,,,,
632,,,,,
633,,,,,
634,,,,,
635,,,,,
636,,,,,
637,,,,,
638,,,,,
639,,,,,
640,,,,,
641,,,,,
642,,,,,
643,True,False,False,False,False
644,True,False,False,False,False
645,True,False,False,False,False
646,True,False,False,False,False
647,True,False,False,False,False
648,False,False,False,False,False
649,True,False,False,False,False
650,True,False,False,False,False
651,True,False,False,False,False
652,True,False,False,False,False
653,True,False,False,False,False
654,True,False,False,False,False
655,False,False,False,False,False
656,False,False,False,False,False
657,False,False,False,False,False
658,False,False,False,False,False
659,False,False,False,False,False
660,False,False,False,False,False
661,True,False,False,False,True
662,,,,,
663,,,,,
664,,,,,
665,,,,,
666,,,,,
667,,,,,
668,,,,,
669,,,,,
670,,,,,
671,,,,,
672,,,,,
673,,,,,
674,False,True,False,True,False
675,False,True,False,True,False
676,,,,,
677,,,,,
678,,,,,
679,,,,,
680,False,True,False,True,False
681,False,False,False,False,False
682,False,True,False,False,False
683,True,False,False,False,False
684,False,False,False,False,False
685,,,,,
686,,,,,
687,,,,,
688,,,,,
689,,,,,
690,,,,,
691,,,,,
692,,,,,
693,,,,,
694,,,,,
695,,,,,
696,,,,,
697,,,,,
698,,,,,
699,,,,,
700,False,False,False,False,False
701,False,False,False,False,False
702,True,False,False,False,False
703,True,False,False,False,False
704,True,False,False,False,False
705,,,,,
706,,,,,
707,,,,,
708,,,,,
709,,,,,
710,,,,,
711,,,,,
712,,,,,
713,,,,,
714,False,False,False,False,False
715,False,False,False,False,False
716,False,False,False,False,False
717,False,False,False,False,False
718,False,False,False,False,False
719,False,False,False,False,False
720,False,False,False,False,False
721,False,False,False,False,False
722,False,False,False,False,False
723,False,False,False,False,False
724,False,False,False,False,False
725,False,False,False,False,False
726,False,False,False,False,False
727,False,False,False,False,False
728,False,False,False,False,False
729,False,False,False,False,False
730,False,False,False,True,False
731,,,,,
732,,,,,
733,,,,,
734,False,False,False,False,False
735,False,False,False,True,False
736,True,False,False,False,False
737,True,False,False,False,False
738,True,False,False,False,False
739,True,False,False,True,False
740,True,False,False,False,False
741,False,True,False,True,False
742,False,True,False,True,False
743,True,False,False,False,False
744,False,False,False,False,False
745,False,False,False,False,False
746,False,False,False,False,False
747,True,False,False,True,False
748,,,,,
749,True,False,False,False,False
750,True,False,False,False,False
751,False,False,False,False,False
752,False,False,False,False,False
753,False,False,False,False,False
754,False,False,False,False,False
755,False,False,False,False,False
756,False,False,False,False,False
757,False,False,False,False,False
758,False,False,False,False,False
759,False,False,False,False,False
760,False,False,False,False,False
761,False,False,False,False,False
762,,,,,
763,,,,,
764,,,,,
765,,,,,
766,,,,,
767,,,,,
768,,,,,
769,,,,,
770,,,,,
771,,,,,
772,,,,,
773,,,,,
774,True,False,False,False,False
775,False,True,False,True,False
776,,,,,
777,True,False,False,True,False
778,True,False,False,True,False
779,True,False,False,False,False
780,,,,,
781,,,,,
782,,,,,
783,,,,,
784,,,,,
785,,,,,
786,,,,,
787,,,,,
788,,,,,
789,,,,,
790,,,,,
791,False,False,False,False,False
792,,,,,
793,,,,,
794,,,,,
795,,,,,
796,,,,,
797,,,,,
798,False,False,False,False,False
799,False,False,False,False,False
800,False,False,False,False,False
801,False,False,False,False,False
802,False,False,False,False,False
803,False,False,False,False,False
804,,,,,
805,,,,,
806,,,,,
807,,,,,
808,,,,,
809,,,,,
810,False,False,False,False,False
811,False,False,False,False,False
812,True,False,False,False,False
813,False,False,False,False,False
814,False,False,False,False,False
815,False,False,False,False,False
816,False,False,False,False,False
817,,,,,
818,,,,,
819,,,,,
820,False,False,True,False,True
821,False,False,True,False,True
822,,,,,
823,False,False,True,False,True
824,False,False,True,False,True
825,,,,,
826,,,,,
827,False,False,True,False,True
828,False,False,True,False,True
829,False,False,True,False,True
830,False,False,False,False,False
831,False,False,False,False,False
832,False,False,False,False,False
833,,,,,
834,,,,,
835,,,,,
836,,,,,
837,False,True,False,True,False
838,False,True,False,True,False
839,False,True,False,True,False
840,False,False,False,False,False
841,False,False,False,False,False
842,False,False,False,False,False
843,False,False,False,False,False
844,False,False,False,False,False
845,False,True,False,True,False
846,False,True,False,True,False
847,False,True,False,True,False
848,False,True,False,True,False
849,,,,,
850,,,,,
851,,,,,
852,,,,,
853,False,True,False,True,False
854,False,True,True,True,True
855,False,True,False,True,False
856,False,True,False,True,False
857,False,False,False,True,False
858,False,True,False,True,False
859,False,False,False,False,False
860,False,False,False,False,False
861,False,False,False,True,False
862,False,False,False,True,False
863,True,False,False,False,False
864,False,False,False,False,False
865,True,False,False,False,False
866,False,False,False,False,False
867,False,False,False,False,False
868,False,False,False,False,False
869,False,False,False,False,False
870,True,False,False,False,False
871,False,True,False,True,False
872,False,True,False,True,False
873,False,True,False,True,False
874,False,True,False,True,False
875,,,,,
876,False,False,False,False,False
877,,,,,
878,False,True,False,True,False
879,,,,,
880,,,,,
881,,,,,
882,,,,,
883,,,,,
884,,,,,
885,,,,,
886,,,,,
887,,,,,
888,,,,,
889,,,,,
890,,,,,
891,,,,,
892,,,,,
893,,,,,
894,,,,,
895,,,,,
896,,,,,
897,,,,,
898,,,,,
899,,,,,
900,,,,,
901,,,,,
902,False,True,True,True,True
903,False,True,True,True,True
904,False,True,True,True,True
905,False,True,True,True,True
906,False,False,True,False,True
907,False,False,True,False,True
908,False,False,True,False,True
909,False,False,True,False,True
910,False,False,True,False,True
911,False,False,True,False,True
912,False,False,True,False,True
913,False,False,False,False,False
914,True,False,False,False,False
915,False,False,False,False,False
916,False,False,False,False,False
917,False,False,False,False,False
918,False,False,False,False,False
919,False,False,False,False,False
920,True,False,False,True,False
921,True,False,False,True,False
922,True,False,False,False,False
923,True,False,False,False,False
924,True,False,False,False,False
925,False,False,False,False,False
926,False,False,False,False,False
927,False,False,False,False,False
928,False,False,False,False,False
929,,,,,
930,True,False,False,True,False
931,False,False,False,False,False
932,False,False,False,False,False
933,False,False,False,False,False
934,True,False,False,False,False
935,,,,,
936,True,False,False,True,False
937,True,False,False,False,False
938,True,False,False,False,False
939,False,False,False,False,False
940,True,False,False,True,False
941,False,False,False,False,False
942,False,False,True,False,True
943,,,,,
944,,,,,
945,True,False,False,False,False
946,,,,,
947,False,False,False,False,False
948,False,False,True,False,True
949,True,False,False,False,False
950,True,False,False,False,False
951,True,False,False,False,False
952,True,False,False,False,False
953,True,False,False,False,False
954,True,False,False,False,False
955,True,False,False,False,False
956,True,False,False,False,False
957,True,False,False,False,False
958,True,False,False,False,False
959,True,False,False,False,False
960,True,False,False,False,False
961,False,False,True,False,True
962,True,False,False,False,False
963,False,False,True,False,True
964,False,False,False,False,False
965,False,False,False,False,False
966,False,False,False,False,False
967,True,False,False,False,False
968,True,False,False,False,False
969,True,False,False,False,False
970,True,False,False,False,False
971,True,False,False,False,False
972,False,False,False,False,False
973,True,False,False,False,False
974,True,False,False,False,False
975,True,False,False,False,False
976,True,False,False,False,False
977,False,False,False,False,False
978,False,False,False,False,False
979,False,False,False,False,False
980,False,False,False,False,False
981,,,,,
982,False,False,False,True,False
983,,,,,
984,,,,,
985,,,,,
986,,,,,
987,,,,,
988,,,,,
989,,,,,
990,,,,,
991,,,,,
992,,,,,
993,,,,,
994,,,,,
995,,,,,
996,,,,,
997,,,,,
998,,,,,
999,,,,,
1000,,,,,
1001,,,,,
1002,,,,,
1003,,,,,
1004,,,,,
1005,,,,,
1006,,,,,
1007,,,,,
1008,,,,,
1009,,,,,
1010,,,,,
1011,,,,,
1012,,,,,
1013,,,,,
1014,,,,,
1015,,,,,
1016,,,,,
1017,,,,,
1018,,,,,
1019,False,True,False,True,False
1020,False,True,False,True,False
1021,False,True,False,True,False
1022,False,True,False,True,False
1023,False,True,False,True,False
1024,False,True,False,True,False
1025,,,,,
1026,,,,,
1027,,,,,
1028,,,,,
1029,,,,,
1030,,,,,
1031,,,,,
1032,,,,,
1033,False,True,False,True,False
1034,,,,,
1035,,,,,
1036,,,,,
1037,,,,,
1038,,,,,
1039,,,,,
1040,False,True,False,True,False
1041,False,True,False,True,False
1042,False,True,False,True,False
1043,False,True,False,True,False
1044,False,True,False,True,False
1045,,,,,
1046,False,True,False,True,False
1047,False,True,False,True,False
1048,,,,,
1049,False,True,False,True,False
1050,False,True,False,True,False
1051,False,True,False,True,False
1052,False,True,False,True,False
1053,False,True,False,True,False
1054,,,,,
1055,False,True,False,True,False
1056,False,True,False,True,False
1057,False,True,False,True,False
1058,,,,,
1059,False,True,False,True,False
1060,False,True,False,True,False
1061,False,True,False,True,False
1062,False,True,False,True,False
1063,False,True,False,True,False
1064,True,False,False,True,False
1065,True,False,False,True,False
1066,True,False,False,True,False
1067,True,False,False,True,False
1068,True,False,False,False,False
1069,True,False,False,False,False
1070,False,True,False,True,False
1071,,,,,
1072,,,,,
1073,False,True,False,True,False
1074,,,,,
1075,,,,,
1076,False,True,False,True,False
1077,,,,,
1078,False,True,False,True,False
1079,False,False,False,False,False
1080,False,False,False,False,False
1081,False,False,False,False,False
1082,False,False,False,False,False
1083,False,True,True,True,True
1084,False,False,True,False,True
1085,False,False,False,False,False
1086,False,False,False,False,False
1087,True,False,False,False,False
1088,False,False,False,False,False
1089,True,False,False,False,False
1090,False,False,False,True,False
1091,True,False,False,False,False
1092,False,False,False,False,False
1093,False,False,False,False,False
1094,False,True,False,True,False
1095,,,,,
1096,,,,,
1097,,,,,
1098,False,False,False,False,False
1099,False,False,False,False,False
1100,False,False,False,False,False
1101,False,False,False,False,False
1102,True,False,False,True,False
1103,False,False,False,False,False
1104,True,False,False,False,False
1105,False,False,False,False,False
1106,False,False,False,False,False
1107,,,,,
1108,,,,,
1109,False,False,False,False,False
1110,False,False,False,False,False
1111,False,False,False,False,False
1112,False,False,False,False,False
1113,,,,,
1114,,,,,
1115,False,False,False,False,False
1116,False,False,False,False,False
1117,False,False,False,False,False
1118,False,False,False,False,False
1119,False,False,False,False,False
1120,False,False,False,False,False
1121,False,False,False,False,False
1122,False,False,False,False,False
1123,False,False,False,False,False
1124,False,False,False,False,False
1125,,,,,
1126,False,True,False,True,False
1127,,,,,
1128,,,,,
1129,,,,,
1130,,,,,
1131,,,,,
1132,,,,,
1133,,,,,
1134,True,False,False,True,False
1135,False,False,False,False,False
1136,False,True,False,True,False
1137,False,True,False,True,False
1138,False,True,False,True,False
1139,False,True,False,True,False
1140,False,False,False,False,False
1141,False,False,False,False,False
1142,,,,,
1143,,,,,
1144,,,,,
1145,,,,,
1146,,,,,
1147,,,,,
1148,,,,,
1149,,,,,
1150,,,,,
1151,,,,,
1152,,,,,
1153,,,,,
1154,,,,,
1155,False,False,False,False,False
1156,,,,,
1157,False,False,False,False,False
1158,True,False,False,True,False
1159,True,False,False,True,False
1160,True,False,False,True,False
1161,True,False,False,False,False
1162,,,,,
1163,,,,,
1164,,,,,
1165,,,,,
1166,False,True,False,True,False
1167,False,True,False,True,False
1168,False,True,False,True,False
1169,False,True,False,True,False
1170,False,True,False,True,False
1171,False,True,False,True,False
1172,False,True,False,True,False
1173,False,True,False,True,False
1174,False,True,False,True,False
1175,False,True,False,True,False
1176,False,True,False,True,False
1177,False,True,False,True,False
1178,False,True,False,True,False
1179,False,True,False,True,False
1180,,,,,
1181,,,,,
1182,,,,,
1183,,,,,
1184,,,,,
1185,,,,,
1186,,,,,
1187,,,,,
1188,,,,,
1189,,,,,
1190,,,,,
1191,,,,,
1192,,,,,
1193,False,True,False,True,False
1194,False,True,False,True,False
1195,False,True,False,True,False
1196,,,,,
1197,,,,,
1198,,,,,
1199,,,,,
1200,,,,,
1201,False,False,False,False,False
1202,False,False,False,False,False
1203,False,False,False,False,False
1204,False,False,False,False,False
1205,True,False,False,False,False
1206,True,False,False,False,False
1207,False,True,False,True,False
1208,False,True,False,True,False
1209,,,,,
1210,False,True,False,True,False
1211,False,True,False,True,False
1212,,,,,
1213,,,,,
1214,False,False,False,False,False
1215,False,False,False,False,False
1216,False,False,False,False,False
1217,False,False,False,False,False
1218,False,False,False,False,False
1219,False,False,False,False,False
1220,,,,,
1221,False,True,False,False,False
1222,,,,,
1223,True,True,False,False,False
1224,False,True,False,True,False
1225,False,True,False,False,False
1226,,,,,
1227,,,,,
1228,,,,,
1229,,,,,
1230,,,,,
1231,False,False,False,False,False
1232,False,False,False,False,False
1233,False,False,False,False,False
1234,False,False,False,False,False
1235,True,False,False,True,False
1236,False,False,False,False,False
1237,False,False,False,False,False
1238,,,,,
1239,False,True,False,True,False
1240,True,False,False,True,False
1241,True,False,False,True,False
1242,False,False,False,False,False
1243,False,False,False,False,False
1244,False,False,False,False,False
1245,False,False,False,False,False
1246,False,True,False,True,False
1247,False,True,False,True,False
1248,False,True,False,True,False
1249,False,True,False,True,False
1250,False,True,False,True,False
1251,False,True,False,True,False
1252,False,True,False,True,False
1253,False,True,False,True,False
1254,False,True,False,True,False
1255,,,,,
1256,,,,,
1257,False,True,False,True,False
1258,False,True,False,True,False
1259,,,,,
1260,True,False,False,True,False
1261,False,False,False,False,False
1262,False,False,False,False,False
1263,True,False,False,True,False
1264,True,False,False,False,False
1265,True,False,False,True,False
1266,True,False,False,True,False
1267,False,False,False,False,False
1268,False,False,False,False,False
1269,False,False,False,False,False
1270,False,False,False,False,False
1271,False,False,False,False,False
1272,True,False,False,False,False
1273,False,False,False,False,False
1274,True,False,False,False,False
1275,False,False,False,False,False
1276,False,False,False,False,False
1277,False,False,False,False,False
1278,True,False,False,True,False
1279,True,False,False,True,False
1280,True,False,False,False,False
1281,True,False,False,True,False
1282,True,False,False,True,False
1283,False,False,False,False,False
1284,False,False,False,True,False
1285,False,False,False,False,False
1286,True,False,False,False,False
1287,True,False,False,True,False
1288,True,False,False,False,False
1289,True,False,False,False,False
1290,True,False,False,False,False
1291,True,False,False,False,False
1292,True,False,False,False,False
1293,False,False,False,False,False
1294,True,False,False,True,False
1295,False,False,False,False,False
1296,False,False,False,False,False
1297,False,False,False,False,False
1298,False,False,False,False,False
1299,False,False,False,False,False
1300,False,False,False,False,False
1301,False,False,False,False,False
1302,False,False,False,False,False
1303,False,False,False,False,False
1304,False,False,False,False,False
1305,False,False,False,False,False
1306,False,False,False,False,False
1307,False,False,False,False,False
1308,False,False,False,False,False
1309,False,False,False,False,False
1310,False,False,False,False,False
1311,False,False,False,False,False
1312,False,False,False,False,False
1313,False,False,False,False,False
1314,False,False,False,False,False
1315,False,False,False,False,False
1316,False,False,False,False,False
1317,False,False,False,False,False
1318,False,False,False,False,False
1319,False,False,False,False,False
1320,False,False,False,False,False
1321,True,False,False,False,False
1322,True,False,False,True,False
1323,True,False,False,True,False
1324,True,False,False,True,False
1325,True,False,False,False,False
1326,True,False,False,True,False
1327,True,False,False,True,False
1328,True,False,False,True,False
1329,True,False,False,True,False
1330,True,False,False,True,False
1331,True,False,False,True,False
1332,True,False,False,True,False
1333,True,False,False,True,False
1334,True,False,False,True,False
1335,True,False,False,True,False
1336,True,False,False,True,False
1337,True,False,False,True,False
1338,True,False,False,True,False
1339,True,False,False,True,False
